Economy_Label,Q1 2006_Index_Average_Q1_2023__100_Value,Q2 2006_Index_Average_Q1_2023__100_Value,Q3 2006_Index_Average_Q1_2023__100_Value,Q4 2006_Index_Average_Q1_2023__100_Value,Q1 2007_Index_Average_Q1_2023__100_Value,Q2 2007_Index_Average_Q1_2023__100_Value,Q3 2007_Index_Average_Q1_2023__100_Value,Q4 2007_Index_Average_Q1_2023__100_Value,Q1 2008_Index_Average_Q1_2023__100_Value,Q2 2008_Index_Average_Q1_2023__100_Value,Q3 2008_Index_Average_Q1_2023__100_Value,Q4 2008_Index_Average_Q1_2023__100_Value,Q1 2009_Index_Average_Q1_2023__100_Value,Q2 2009_Index_Average_Q1_2023__100_Value,Q3 2009_Index_Average_Q1_2023__100_Value,Q4 2009_Index_Average_Q1_2023__100_Value,Q1 2010_Index_Average_Q1_2023__100_Value,Q2 2010_Index_Average_Q1_2023__100_Value,Q3 2010_Index_Average_Q1_2023__100_Value,Q4 2010_Index_Average_Q1_2023__100_Value,Q1 2011_Index_Average_Q1_2023__100_Value,Q2 2011_Index_Average_Q1_2023__100_Value,Q3 2011_Index_Average_Q1_2023__100_Value,Q4 2011_Index_Average_Q1_2023__100_Value,Q1 2012_Index_Average_Q1_2023__100_Value,Q2 2012_Index_Average_Q1_2023__100_Value,Q3 2012_Index_Average_Q1_2023__100_Value,Q4 2012_Index_Average_Q1_2023__100_Value,Q1 2013_Index_Average_Q1_2023__100_Value,Q2 2013_Index_Average_Q1_2023__100_Value,Q3 2013_Index_Average_Q1_2023__100_Value,Q4 2013_Index_Average_Q1_2023__100_Value,Q1 2014_Index_Average_Q1_2023__100_Value,Q2 2014_Index_Average_Q1_2023__100_Value,Q3 2014_Index_Average_Q1_2023__100_Value,Q4 2014_Index_Average_Q1_2023__100_Value,Q1 2015_Index_Average_Q1_2023__100_Value,Q2 2015_Index_Average_Q1_2023__100_Value,Q3 2015_Index_Average_Q1_2023__100_Value,Q4 2015_Index_Average_Q1_2023__100_Value,Q1 2016_Index_Average_Q1_2023__100_Value,Q2 2016_Index_Average_Q1_2023__100_Value,Q3 2016_Index_Average_Q1_2023__100_Value,Q4 2016_Index_Average_Q1_2023__100_Value,Q1 2017_Index_Average_Q1_2023__100_Value,Q2 2017_Index_Average_Q1_2023__100_Value,Q3 2017_Index_Average_Q1_2023__100_Value,Q4 2017_Index_Average_Q1_2023__100_Value,Q1 2018_Index_Average_Q1_2023__100_Value,Q2 2018_Index_Average_Q1_2023__100_Value,Q3 2018_Index_Average_Q1_2023__100_Value,Q4 2018_Index_Average_Q1_2023__100_Value,Q1 2019_Index_Average_Q1_2023__100_Value,Q2 2019_Index_Average_Q1_2023__100_Value,Q3 2019_Index_Average_Q1_2023__100_Value,Q4 2019_Index_Average_Q1_2023__100_Value,Q1 2020_Index_Average_Q1_2023__100_Value,Q2 2020_Index_Average_Q1_2023__100_Value,Q3 2020_Index_Average_Q1_2023__100_Value,Q4 2020_Index_Average_Q1_2023__100_Value,Q1 2021_Index_Average_Q1_2023__100_Value,Q2 2021_Index_Average_Q1_2023__100_Value,Q3 2021_Index_Average_Q1_2023__100_Value,Q4 2021_Index_Average_Q1_2023__100_Value,Q1 2022_Index_Average_Q1_2023__100_Value,Q2 2022_Index_Average_Q1_2023__100_Value,Q3 2022_Index_Average_Q1_2023__100_Value,Q4 2022_Index_Average_Q1_2023__100_Value,Q1 2023_Index_Average_Q1_2023__100_Value,Q2 2023_Index_Average_Q1_2023__100_Value,Q3 2023_Index_Average_Q1_2023__100_Value,Q4 2023_Index_Average_Q1_2023__100_Value,Q1 2024_Index_Average_Q1_2023__100_Value,Q2 2024_Index_Average_Q1_2023__100_Value,Q3 2024_Index_Average_Q1_2023__100_Value,Q4 2024_Index_Average_Q1_2023__100_Value,Q1 2025_Index_Average_Q1_2023__100_Value,Q2 2025_Index_Average_Q1_2023__100_Value,Q3 2025_Index_Average_Q1_2023__100_Value
French Polynesia,38.78,39.45,41.72,41.05,43.87,43.81,48,47.74,45.8,47.95,44.92,44.98,44.06,44.06,38.38,38.38,38.38,37.08,37.12,37.12,36.44,37.32,36.67,38.59,38.88,37.08,37.75,38.32,39.67,33.15,32.71,35.44,32.46,30.38,28.78,28.78,28.78,28.81,28.82,37.12,38.93,38.94,37.79,38.96,39.81,39.83,40.73,38.29,37.61,38.89,38.86,35.58,35.92,36.6,45.31,41.51,39.69,40.24,40.94,40.26,40.27,41.37,43.76,40.75,39.6,40.56,31.38,39.85,39.85,39.79,40.35,40.36,40.5,40.97,41.19,40.26,40.27,39.72,39.26
Gabon,37.6,36.64,34.8,35.55,38.15,38.67,34.51,38.18,38.27,39.03,46.19,45.95,42.9,43.58,39.4,41.27,41.95,41.05,40.6,36.9,32.93,34.75,41.11,42.09,39.67,47.52,45.86,46.53,46.02,48.08,42.66,42.69,43.63,39.51,39.65,34.35,34.7,35.36,36.26,36.11,37.42,38.78,40.38,42.9,42.93,43.63,43.56,41.18,38.9,41.81,43.6,40.93,41.68,43.47,39.05,39.03,38.91,35.24,35.23,35.23,32.93,34.24,35.07,34.93,33.14,35.12,34.48,35.16,35.76,35.78,35.89,35.88,35.31,35.93,34.21,33.51,33.38,31.26,32.3
Gambia,10.82,14.4,13.9,12.76,13.03,13.03,18.16,18.58,19.93,19.93,18.05,19.9,19.9,21.37,20.53,21.79,21.86,22.44,22.44,20.42,22.69,21.65,19.4,20.67,21.92,31.28,29.5,35.94,36.77,31.41,28.69,29.43,29.68,29.68,32.19,27.37,27.58,30.36,30.38,27.77,25.92,26.29,26.3,22.7,21.42,18.67,20.79,20.84,20.79,25.27,23.4,16.61,16.25,16.25,17.45,15.51,15.5,15.03,14.87,14.83,15.47,14.93,13.32,15.14,12.53,13.51,14.17,14.51,14.35,12,12.13,12.19,12.21,14.94,14.24,12.53,16.09,14.94,14.91
Georgia,21.36,20.07,20.3,19.65,16.56,17.15,16.37,17.63,22.46,23.09,24.68,23.12,20.73,18.06,18.14,18.13,24.61,22.17,24.97,22.62,24.26,23.58,21.81,24.1,24.09,24.94,24.98,19.76,19.32,19.07,22.29,21.68,21.53,20.85,20.85,21.06,20.85,19.74,19.3,19.24,18.57,17.33,18,16.53,19.85,20.23,20.72,20.75,21.1,22.72,23.77,21.88,21.6,23.56,22.4,22.29,22.31,19.37,18.44,19.12,19.6,19.6,17.83,17.73,17.73,17.02,22.77,20.32,28.12,29.87,29.99,26.8,25.88,27.99,28.37,28.77,29.04,28.24,30.31
Germany,464.46,480.05,481.77,474.68,469.93,463.76,471.45,479.3,488.35,479.21,477.37,482.48,470.65,446.27,428.72,419.48,415.6,429.13,431.02,412.35,415.98,438.72,426.68,418.47,411.33,413.69,421.29,401.21,399.3,408.69,409.65,406.58,399.35,398.27,397.27,386.35,392.04,398.61,407.15,407.77,405.58,397.64,393.12,387.49,381.03,374.29,367.31,371.43,374.1,379.16,366.52,357.13,357.05,354.36,353.06,354.78,345.98,332.56,332.94,332.44,337.95,337.72,341.86,346.89,348.4,341.87,335.47,327.24,319.41,316.47,317.49,316.45,307.24,304.82,304,306.49,314.17,321.63,323.26
Ghana,72.54,74.2,82.35,81.99,85.31,83.19,78.19,78.24,78.37,84.99,86.07,81.48,82.4,81.74,89.99,88.5,91.61,92.69,95.84,93.34,97.58,94.09,93.82,87.24,82.51,77.36,78.41,82.05,81.78,84.15,85.05,85.15,87.76,86.58,84.94,86.19,84.83,86.76,91.66,92.73,88.57,75.72,77.4,77.66,80.03,76.21,81.23,74.49,75.27,75.7,75.82,74.16,74.99,75.01,73.38,94.11,93.57,100.7,107.42,107.87,108.08,102.31,97.89,97.26,93.77,96.63,94.13,95.43,98.79,102.05,104.53,102.52,101.83,109.75,109.57,111.57,128.73,133.13,136.59
Gibraltar,6.72,7.38,8.82,8.82,8.82,8.82,8.82,8.82,8.82,8.83,8.83,7,7,7,7,7,7,7,7,7,7,13.2,13.2,7.9,13.53,12.34,12.34,12.34,5.99,5.99,5.99,11.29,11.97,11.97,11.97,11.97,11.97,12.58,7.01,12.57,7.01,12.58,12.58,7.01,7.01,7.01,7.01,7.01,7.01,11.9,5.79,5.88,5.36,5.36,5.36,7.39,7.39,6.72,,7.39,7.39,6.72,6.7,6.72,7.72,7.72,7.72,7.72,,,,,,,,7.37,7.37,7.45,7.46
Greece,129.25,134.29,133.9,134.94,109.83,109.84,125.31,130.96,125.92,121.91,110.27,97.92,99.76,113.5,106.12,113.53,110.95,109.16,106.24,106.78,106.53,111.68,109.35,110.96,109.29,117.11,119,125.69,127.67,129.2,136.64,139.93,149.28,147.22,148.16,144.92,142.66,143.78,132.49,131.03,135.64,137.49,135.21,139.51,142.06,149.01,177.29,171.11,184.92,177.61,174.68,176.67,176.22,183.03,184.55,184.69,181.58,179.81,182.35,186.28,183.9,185.54,189.76,186.48,176.76,179.38,182.27,185.85,186.08,191.08,198.47,202.15,191.61,175.41,175.12,180.21,186.9,183.01,176.23
Greenland,4.49,4.49,4.49,4.49,,,,,,,,,,,,,,,,,,,,,,,,4.76,4.47,4.47,4.48,4.46,4.46,4.46,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,11.8,12.73,12.73,11.64,11.64,11.64,11.64,11.64,11.64,11.64,11.64,11.64,11.64,11.64,11.64,11.65,11.65,11.65,11.65,11.65,12.32
Grenada,22.66,22.66,22.66,22.66,27.92,29.31,29.31,27.28,27.28,27.28,27.33,27.33,27.33,22.73,22.73,22.73,22.71,22.71,22.71,20.29,20.29,20.29,20.29,21.65,21.65,30.33,30.34,30.34,30.76,31.84,33.58,33.58,31.35,31.19,31.19,28.3,26.95,26.95,26.95,27.63,31.43,28.64,22.98,22.98,23.04,23.04,24.62,21.63,21.63,30.47,27.34,21.86,21.18,24.79,24.8,24.8,24.82,24.82,24.78,24.78,24.79,24.79,24.79,22.07,19.16,22.81,22.81,22.82,25.92,25.73,22.75,22.75,23.68,23.14,23.14,23.14,23.14,23.14,23.14
Guadeloupe,37.75,38.14,36.4,35.11,35.11,34.67,34.68,32.85,32.88,32.84,32.19,32.2,32.2,37.1,36.92,36.92,36.94,36.94,37.09,36.75,36.8,36.8,36.79,39.23,40.34,39.33,43.24,38.26,38.16,37.69,42.56,42.56,42.54,41.19,41.19,40.43,39.75,42.25,42.72,41.25,41.31,45.21,45.45,45.48,45.53,45.46,46.14,46.1,43.26,45.26,43.92,43.31,43.26,48.98,52.09,48.15,48.91,53.8,51.32,53.96,52.09,52.1,51.41,42.72,40.71,40.72,39.37,39.41,41.03,40.4,39.66,39.95,40.56,40.9,42.55,44.39,44.4,42.87,45.34
Guam,21.63,21.63,23.08,23.08,22.9,22.97,22.98,22.26,22.26,22.28,29.26,29.26,28.66,27.67,21.83,21.83,21.83,23.78,23.78,23.78,23.78,25.56,23.62,21.07,22.52,22.52,22.52,22.52,25.77,25.22,25.22,25.23,25.24,25.24,26.38,26.38,26.38,26.38,25.7,25.68,27.64,28.32,28.32,28.32,26.78,26.78,26.78,22.18,22.17,22.17,22.17,22.3,22.3,22.3,22.1,23.54,23.54,22.71,22.74,22.77,22.75,22.75,22.8,22.8,22.81,22.81,22.81,22.81,22.81,22.81,22.81,22.81,22.85,22.85,22.85,22.85,22.84,22.84,22.84
Guatemala,91.65,95,92.74,88.41,84.32,86.27,92.38,92.12,83.06,78.64,82.63,83.79,84.04,87.85,94.54,91.49,94.94,93.7,84.23,82.05,80.99,84.74,84.45,77.78,76.63,73.11,73.77,78.05,76.82,84.29,87.93,86.56,83.36,89.39,87.61,89.55,93.64,85.83,85.89,85.9,92.53,95.77,100.95,97.46,99.17,94.94,94.76,96.15,96.03,100.72,100.53,100.54,100.23,97.66,96.34,98.1,95.34,95.52,101.65,104.37,101.27,113.79,107.78,106.16,108.74,103.5,101.03,103.24,104.97,105.69,106.01,107.15,109.43,107,105.69,107.76,109.31,107.9,106.31
Guernsey,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.86,4.86,4.86,4.86,4.86,7.07,7.07,7.07,7.07,7.07,7.07,7.07,5.34,5.34,8.16,5.49,5.49,,,,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.96,4.96,4.96,4.96,9.73,4.96,4.96,4.96,4.96,4.96,4.96,,,,,
Guinea,34.97,38.39,37.12,38.56,33.18,29.76,29.93,31.4,36.77,40.17,43.84,40.28,40.32,41,35.94,35.94,36.69,30.13,33.21,31.93,36.39,36.42,34.53,31.48,26.67,35.25,34.99,35.75,36.02,35.02,37.57,38.15,36.64,36.59,33.74,24.12,21.84,30.38,34.67,36.16,39.87,38.27,38.28,38.24,36.01,38.34,35.09,39.69,32.91,31.58,37.23,33.78,33.97,33.99,33.61,35.22,31.57,25.35,25.14,22.52,20.4,22,21.91,23.46,24.13,23.42,23.46,23.44,24.3,27.81,28.86,29.32,29.16,31.45,27.35,22.63,31.98,30.21,33.15
Guinea-Bissau,10.25,15.05,14.9,14.9,14.9,14.99,16.62,16.62,13.66,13.66,13.61,13.61,13.36,13.34,18.37,18.26,18.26,13.55,13.55,13.55,14.18,19.45,14.59,14.61,14.61,14.16,14.84,14.84,14.76,10.21,10.21,10.21,10.21,14.22,14.22,10.55,9.4,9.4,9.74,12.2,12.19,9.44,13.35,11.4,10.06,18.33,16.72,10.19,12.75,13.78,18.09,10.88,10.88,10.01,14.22,10.01,10.81,10.81,17.43,9.76,9.76,9.76,13.39,13.39,9.76,9.76,13.29,16.5,16.62,16.64,17.48,16.32,15.96,15.98,15.73,16.24,16.15,16.15,17.14
Guyana,33.37,33.37,35.98,32.33,32.29,33.21,33.24,36.83,39.52,39.44,37.67,37.69,37.69,39.03,39.03,39.03,45.71,45.03,42.79,41.17,45.59,44.21,38.37,37.26,38.29,37.75,37.14,37.81,38.83,38.81,41.69,41.69,37.75,39.54,39.54,42.31,41.64,41.64,41.65,41.63,39.62,45.16,42.89,43.84,39.15,42.77,45.79,46.94,42.18,42.16,42.24,42.24,37.25,37.25,37.24,38.86,36.5,34.2,36.79,35.43,35.44,35.44,38.98,40.54,32.43,32.38,33.74,33.77,34.47,35.2,31.37,36.7,36.49,38.71,38.64,38.91,41.7,43.66,43.7
Haiti,18.43,20.75,24.98,24.98,24.11,16.16,14.37,17.84,19.9,21.11,18.23,27.57,27.57,29.79,30.03,30.03,26.86,23.39,21.06,29.43,38.57,34.7,34.7,32.38,33.75,38.29,38.29,38.29,44.98,41.43,42.58,42.58,43.2,44.35,44.31,44.22,39.78,41.9,41.94,44.62,43,44.08,48.94,46.42,42.55,40.19,28.89,31.11,34.26,36.74,41.97,41.97,41.69,41.95,43.06,37.31,37.3,38.72,38.7,33.75,36.03,36.04,37.47,31.81,31.75,32.36,32.37,30.18,31.17,33.16,31.42,31.45,31.46,32.31,32.58,33.71,32.41,31.28,24.34
Honduras,59.2,60.87,63.58,63.5,61.56,61.68,67.65,67.51,56.94,52.84,51.69,51.43,57.65,63.27,67.48,65.27,67.93,65.78,63.82,59.98,59.15,58.1,57.77,61.73,61.03,61.95,62.87,65.33,67.31,67.56,69.02,70.04,67.02,70.6,69.28,69.33,66.88,64.12,63.93,63.92,65.5,67.68,73.45,69.27,70.38,69.85,65.08,66.46,61.94,60.07,61.92,56.34,59.85,58.72,55.63,53.27,48.15,56.64,50,53.58,53.55,53.68,52.97,52.44,53.65,57.72,57.8,59.71,59.97,62.53,62.56,65.99,68.09,64.23,61.13,60.46,61.24,61.73,60.32
Iceland,18.63,18.65,18.65,19.33,19.33,19.33,19.34,19.36,18.68,20.44,19.41,18.32,18.19,18.25,18.25,16.5,16.5,15.33,15.33,16.33,16.33,15.33,14.82,15.49,15.49,15.95,15.95,16.76,16.76,16.72,18.47,17.7,17.72,17.41,19.24,19.25,19.25,18.06,18.06,18.06,19.6,19.6,17.87,17.09,17.09,18.65,21.56,21.61,21.79,21.79,21.8,21.82,21.53,21.07,21.09,21.24,21.24,20.02,23.44,23.63,23.69,23.69,23.69,23.69,25.83,25.83,25.83,25.83,25.83,26.2,26.94,26.94,27.63,27.98,27.98,27.98,28.4,28.3,28.72
India,212.12,216.67,213.63,211.67,224.36,236.88,245.2,244.83,245.35,252.56,265.79,262.42,255.56,257.53,245.96,249.61,246.23,249.32,245.44,242.73,250.51,263.54,265.61,260.73,249.87,233.94,231.87,235.46,235.87,232.49,231.13,233.1,232.16,230.61,232.3,239.51,239.66,245.11,244.33,252.19,249.89,268.5,273.11,259.37,254.64,251.28,256.47,253.3,257.57,255.86,257.83,255.44,242.56,248.32,246.11,245.45,248.5,246.25,252.66,256.84,267.93,269.9,271.63,272.39,289.37,288.28,296.37,306.99,319.5,326.98,338.13,337.87,337.28,340.9,345.84,358.54,388.7,403.18,398.01
Indonesia,215.8,224.7,217.47,223.33,224.74,224.24,222.61,237.51,240.14,242.71,241.92,238.87,239.29,238.69,231.69,230.62,235.48,232.62,238.57,243.87,240.16,237.66,237.4,233.73,221.89,217.76,217.63,219.94,228.3,231.7,230.19,230.84,226.09,223.1,218.57,228.93,232.63,232.85,237.45,225.84,222.61,215.64,221.89,211.19,206.87,220.84,231.3,237.16,233.36,238.46,232.47,224.51,228.03,224.59,221.84,225.16,228.78,204.75,198.53,200.68,196,198.65,195.41,196.96,199.65,205.28,221.11,242.19,254.28,236.51,230.95,225.7,229,228.23,227.3,231.68,241.03,237.72,239.41
Iran (Islamic Republic of),92.88,96.17,105.61,108.59,104.95,103.49,99.17,103.64,98.98,93.95,101.67,106.78,110.16,106.96,105.2,113.36,118.16,120.37,119.62,122.7,125.32,119,112.77,110.09,89.57,84.78,86.59,81.48,84.72,80.51,63.47,59.97,60.06,58.18,58.13,66.89,64.54,64.56,73.28,94.69,121.92,109.28,108.2,109.78,103.48,107.14,105.63,102.59,103.13,106.78,85.9,52.05,51.97,52.46,55.93,52.42,46.52,46.52,65.82,57.14,57.14,56.67,56.67,55.99,63.6,62.32,60.72,60.72,60.72,60.72,60.72,60.5,59.16,57.36,58.4,58.92,58.92,58.92,58.88
Iraq,8.43,8.43,7.28,6.03,3.3,9.92,9.92,15.51,15.51,14.83,18.62,18.99,18.95,18.95,24.95,24.27,24.27,24.27,27.11,25.9,25.94,24.29,26.07,26.07,18.18,20.57,23.14,25.49,27.58,24.96,27.09,30.47,32.78,29.89,28.91,29.59,28.91,27.05,30.85,30.92,33.6,37.49,37.4,38.59,53.12,56.27,61.34,63.54,63.43,64.17,76.12,69.12,64.72,65.19,63.11,63.08,70.94,76.2,75.65,78.84,76.44,76.09,71.5,67.42,65.29,62.23,66.91,68.37,68.65,71.19,77.34,76.75,74.37,78.61,79.97,83.53,93.64,91.45,79.41
Ireland,74.12,72.1,72.6,71.61,80.3,79.58,81.32,81.07,79.98,71.65,61.19,61.65,56.21,56.14,59.65,58.56,60.79,59.26,55.29,51.06,48.97,47.31,47.89,46.21,54.64,56.82,58.5,57.15,48.89,51.65,53.4,51,52.04,52.04,55.86,57.98,55.94,53.12,60.62,60.86,57.35,60.79,59.8,55.42,51.28,52.57,53.18,53.25,52.59,56.66,55.53,56.67,56.59,56.62,55.75,54.65,51.11,48.14,72.18,57.46,55.14,55.84,55.23,55.3,55.97,57.07,58.17,58.38,58.39,57.84,56.42,57.42,57.78,62.87,64.36,66.36,65.85,60.65,61.36
Israel,101.59,102.15,103.66,103.84,103.33,105.93,105.4,96.97,96.81,97.08,95.3,98.15,101.01,103.05,100.97,101.06,102.06,103.97,101.61,104.29,105.63,104.66,93.67,88.48,97.34,98.75,106.83,110.99,112.08,115.08,109.2,104.33,104.19,103.47,105.36,106.88,105.59,108.7,103.22,109.8,112.85,110.59,108.41,114.07,114.04,118.09,111.43,110.25,115.25,113.81,111.06,111.41,110.92,114.61,109.8,116.16,111.28,119.56,118.08,118.18,119.61,120.78,117.54,118.5,122.19,124.64,129.13,132.32,129.44,134.21,153,136.99,108.58,88.72,78.77,79.85,85.98,93.13,89.43
Italy,326.3,328.43,335.28,343.56,339.86,329.23,332.12,332.41,323.12,321.96,327.33,330.47,337.77,338.64,306,295.48,293.61,288.47,294.11,304.82,305.11,301.98,302.47,294.35,292.03,289.7,284.82,288.56,276.52,282.07,285.76,283.8,287.89,289.81,284.05,282.62,294.52,287.03,292.16,285.46,291.63,287.31,290.71,287.91,292.05,289.66,284.69,288.85,289.12,280.46,285.65,285,282.88,289.23,282.24,277.76,268.66,275.62,284.11,274.9,262.04,265,275.36,276.27,274.14,270.22,271.99,276.37,279.4,285.67,292.12,294.6,287.62,287.44,282.36,282.21,286.98,283.52,289.88
Jamaica,117.21,122.32,112.13,103.05,97.06,95,90.02,88.23,82.88,82.65,82.05,88.28,89.21,94.05,89.98,90.45,90.57,95.77,94.94,93.73,90.57,94.33,96.36,91.93,92.94,97.67,95.4,106.87,105.33,100.41,101.6,103.24,103.57,103.35,99.79,96.35,104.17,107,95.98,96.85,95.7,97.87,102.98,106.74,101.87,100.12,98.66,104.18,96.48,99.61,99.39,99.46,100.02,103.8,95.37,95.89,102.82,104.78,104.77,108.09,112.74,114.03,111.55,107,103.75,109.4,109.51,111.98,118.19,123.44,121.8,118.31,122.26,125.16,127.2,124.53,120.85,115.24,115.18
Japan,499.26,524.54,527.52,527.05,523.52,513.39,511.05,511.49,504.81,493.93,493.78,491.26,473.92,456.13,461.04,463.81,464.36,478.15,486.23,474.36,469.72,472.39,461.44,447.72,441.92,434.37,438.09,442.8,437.88,431.6,435.46,426.03,412.09,411.29,421.36,434.17,431.2,428.35,433.78,424.31,431.7,424.05,413.44,398.12,401.1,390.16,394.95,400.51,396.56,398.96,394.13,411.46,411.51,409.12,408.02,420.8,411.53,413.26,414.23,406.26,402.42,393.47,391.85,388.99,384.22,387.51,388.77,404.03,403.46,410.82,414.84,416.19,421.48,423.43,415.84,411.41,410.39,421.84,429.15
Jersey,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.76,4.86,4.86,4.86,4.86,4.86,7.07,7.07,7.07,7.07,7.07,7.07,7.07,5.34,5.34,8.16,5.49,5.49,,,,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.96,4.96,4.96,4.96,9.73,4.96,4.96,4.96,4.96,4.96,4.96,,,,,
Jordan,69.65,68.4,65.58,68.21,70.67,74.67,72.85,69.4,66.16,61,57.72,62.98,62.47,72.76,74.71,71.43,58.3,67.78,67.05,66.18,67.06,69.73,69.26,67.25,64.45,63.28,61.11,61.63,59.14,59.36,56.69,56.73,53.98,59.21,60.72,60.78,60.09,62.08,65.62,66.72,67.12,65.06,71.44,59.84,66.26,60.43,65.68,67.61,72.09,77.72,72.47,73.54,71.27,67.68,68.02,67.12,67.94,67.35,71.01,70.85,71.34,70.93,69.95,69.44,69.59,68.75,69.98,68.89,71.37,72.89,71.86,71.78,63.52,63.34,70.03,83.8,77.44,77.28,70.52
Kenya,55.15,58.09,59.35,60.77,60.12,60.42,61.93,63.05,59.37,55.07,57.13,59.29,62.75,59.54,60.32,60.44,59.31,60.86,66.93,60.87,67.94,67.18,62.81,66.01,59.58,62.35,60.34,56.74,52.3,57.84,57.48,57.76,56.58,55.73,59.91,60.34,52.78,52.52,53.9,60.02,56.21,55.12,57.7,56.31,58.12,57.45,56.48,57.94,60.43,73.5,62.23,60.87,70.92,61.39,61.39,61.83,60.63,57.52,59.04,56.4,57.63,59.81,60.52,56.04,56.01,52.67,56.84,58.75,62.06,62.84,60.66,66.37,67.46,67.41,69.93,69.65,75.04,74.51,80.2
Kiribati,,,,,,,,,,,8.64,8.64,8.64,12.13,4.52,4.52,4.52,13.99,10.48,10.48,10.48,11.72,11.72,11.72,11.72,11.72,11.72,18.53,18.53,18.53,18.53,18.91,13.49,11.47,11.47,15.68,15.68,15.68,14.32,12.99,16.15,17.97,16.31,16.31,14.99,14.99,14.99,15.04,15.04,15.04,15.04,5.05,5.05,5.05,5.05,15.18,15.18,15.18,16.42,15.12,15.12,15.12,15.12,16.05,16.05,16.05,16.05,16.05,16.05,16.55,16.8,16.8,16.65,16.2,16.2,16.19,16.19,16.19,16.19
Kuwait,51.15,49,49.42,49.44,47.82,48.93,49.52,51.77,51.08,55.54,59.99,59.89,58.64,54.88,55.01,54.01,50.72,49.6,49.48,38.09,38.72,42.69,40.31,39.14,44.03,40.48,42.31,43.59,43.59,41.25,42.93,36.2,36.29,39.82,37.48,38.24,36.84,37.3,38.56,34.57,32.64,38.31,36.85,26.43,26.38,26.35,27.97,36.52,34.97,33.62,41.35,41.82,43.35,43.35,41.06,40.82,37.06,37.06,37.08,38.78,34.31,34.73,32.12,32.05,27.78,29.85,32.24,33.76,35.23,43.8,43.68,38.98,37.65,36.87,36.93,36.92,38.51,35.98,34.76
Latvia,34.08,36.37,37.19,31.32,33.14,31.81,32.53,30.68,27.24,25.95,27.95,26.28,30.44,32.97,33.93,32.82,37.38,33.81,33.96,30.59,31.42,28.02,29.49,32.01,37.35,36.48,38.63,30.6,28.78,30.05,32.15,35.83,31.73,33.53,34.03,33.25,34.33,30.99,29.51,27.73,31.62,32.93,30.95,30.51,26.73,26.74,28.43,27.55,31.01,32.13,30.97,31.01,33.81,34.09,32.96,33.95,34.15,30.54,33.9,30.7,31.87,28.31,30.1,33.39,33.37,34.34,35.71,32.55,38.75,40,40.15,40.95,43.17,43.63,42.4,38.96,47.39,48.64,46.86
Lebanon,74.71,68.01,69.33,72.4,69.98,72,74.42,76.87,80.1,68.85,72.55,72.94,68.65,76.18,82.58,81.11,75.06,74.39,75.47,75.02,82.77,85.65,91.6,90.93,80.77,83.68,86.68,87.15,83.03,87.3,89.4,86.85,85.69,84.22,92.14,91.37,93.83,90.93,87.42,97.67,101.55,99.35,97.58,97.69,92.22,97.95,94.29,98.03,100.7,105.35,107.29,105.06,103.89,93.76,91.02,99.23,99.64,85.2,84.08,81.87,97.63,89.03,92.77,92.53,92.16,89.28,89.26,90.52,93.75,96.36,95.84,107.44,105.83,79.56,74.97,74.13,75.62,80.48,75.51
Liberia,11.5,13.74,14.97,16.55,15.66,19.4,19.4,29.11,25.37,25.99,23.41,19.32,19.78,22.69,18.42,18.42,19.11,20.28,14.34,14.34,15.52,15.03,13.2,13.12,14.48,24.55,24.23,25.17,23.65,24.61,25.56,26.74,26.53,30.71,29.43,22.42,26.18,26.2,25.32,25.27,23.45,18.08,18.18,20.56,19.48,19.5,23.31,22.46,17.97,22.69,22.23,21.41,21.41,21.42,21.66,21.6,22.56,21.82,21.43,19.48,14.62,17.71,16.13,16.15,17.42,14.76,15.43,14.38,15.49,16.33,16.94,17.34,22.55,20.55,19.94,18.46,21.76,21.55,21.53
Libya,37.31,37.5,39.77,44.1,47.63,47.65,45.96,50.07,52.34,52.23,42.38,43.31,41.54,46.18,47.98,46.01,42.78,45.93,47.77,44.6,45.11,33.61,29.92,25.08,30.67,32.47,33.18,42.91,57.01,59.18,63.32,68.1,67.27,70.01,70.81,67.83,61.07,63.72,59.58,59.31,57.66,47.58,46.21,48.22,47.67,52.6,50.93,58.22,56.43,53.28,54.15,56.4,55.97,58.21,52.83,56,54.79,56.36,55.07,51.94,53.02,49.4,48.22,53.2,48.48,51.38,54.23,52.76,52.09,50.96,60.32,52.88,51.96,60.32,62.76,65.36,62.94,63.39,65.75
