Economy_Label,Q1 2006_Index_Average_Q1_2023__100_Value,Q2 2006_Index_Average_Q1_2023__100_Value,Q3 2006_Index_Average_Q1_2023__100_Value,Q4 2006_Index_Average_Q1_2023__100_Value,Q1 2007_Index_Average_Q1_2023__100_Value,Q2 2007_Index_Average_Q1_2023__100_Value,Q3 2007_Index_Average_Q1_2023__100_Value,Q4 2007_Index_Average_Q1_2023__100_Value,Q1 2008_Index_Average_Q1_2023__100_Value,Q2 2008_Index_Average_Q1_2023__100_Value,Q3 2008_Index_Average_Q1_2023__100_Value,Q4 2008_Index_Average_Q1_2023__100_Value,Q1 2009_Index_Average_Q1_2023__100_Value,Q2 2009_Index_Average_Q1_2023__100_Value,Q3 2009_Index_Average_Q1_2023__100_Value,Q4 2009_Index_Average_Q1_2023__100_Value,Q1 2010_Index_Average_Q1_2023__100_Value,Q2 2010_Index_Average_Q1_2023__100_Value,Q3 2010_Index_Average_Q1_2023__100_Value,Q4 2010_Index_Average_Q1_2023__100_Value,Q1 2011_Index_Average_Q1_2023__100_Value,Q2 2011_Index_Average_Q1_2023__100_Value,Q3 2011_Index_Average_Q1_2023__100_Value,Q4 2011_Index_Average_Q1_2023__100_Value,Q1 2012_Index_Average_Q1_2023__100_Value,Q2 2012_Index_Average_Q1_2023__100_Value,Q3 2012_Index_Average_Q1_2023__100_Value,Q4 2012_Index_Average_Q1_2023__100_Value,Q1 2013_Index_Average_Q1_2023__100_Value,Q2 2013_Index_Average_Q1_2023__100_Value,Q3 2013_Index_Average_Q1_2023__100_Value,Q4 2013_Index_Average_Q1_2023__100_Value,Q1 2014_Index_Average_Q1_2023__100_Value,Q2 2014_Index_Average_Q1_2023__100_Value,Q3 2014_Index_Average_Q1_2023__100_Value,Q4 2014_Index_Average_Q1_2023__100_Value,Q1 2015_Index_Average_Q1_2023__100_Value,Q2 2015_Index_Average_Q1_2023__100_Value,Q3 2015_Index_Average_Q1_2023__100_Value,Q4 2015_Index_Average_Q1_2023__100_Value,Q1 2016_Index_Average_Q1_2023__100_Value,Q2 2016_Index_Average_Q1_2023__100_Value,Q3 2016_Index_Average_Q1_2023__100_Value,Q4 2016_Index_Average_Q1_2023__100_Value,Q1 2017_Index_Average_Q1_2023__100_Value,Q2 2017_Index_Average_Q1_2023__100_Value,Q3 2017_Index_Average_Q1_2023__100_Value,Q4 2017_Index_Average_Q1_2023__100_Value,Q1 2018_Index_Average_Q1_2023__100_Value,Q2 2018_Index_Average_Q1_2023__100_Value,Q3 2018_Index_Average_Q1_2023__100_Value,Q4 2018_Index_Average_Q1_2023__100_Value,Q1 2019_Index_Average_Q1_2023__100_Value,Q2 2019_Index_Average_Q1_2023__100_Value,Q3 2019_Index_Average_Q1_2023__100_Value,Q4 2019_Index_Average_Q1_2023__100_Value,Q1 2020_Index_Average_Q1_2023__100_Value,Q2 2020_Index_Average_Q1_2023__100_Value,Q3 2020_Index_Average_Q1_2023__100_Value,Q4 2020_Index_Average_Q1_2023__100_Value,Q1 2021_Index_Average_Q1_2023__100_Value,Q2 2021_Index_Average_Q1_2023__100_Value,Q3 2021_Index_Average_Q1_2023__100_Value,Q4 2021_Index_Average_Q1_2023__100_Value,Q1 2022_Index_Average_Q1_2023__100_Value,Q2 2022_Index_Average_Q1_2023__100_Value,Q3 2022_Index_Average_Q1_2023__100_Value,Q4 2022_Index_Average_Q1_2023__100_Value,Q1 2023_Index_Average_Q1_2023__100_Value,Q2 2023_Index_Average_Q1_2023__100_Value,Q3 2023_Index_Average_Q1_2023__100_Value,Q4 2023_Index_Average_Q1_2023__100_Value,Q1 2024_Index_Average_Q1_2023__100_Value,Q2 2024_Index_Average_Q1_2023__100_Value,Q3 2024_Index_Average_Q1_2023__100_Value,Q4 2024_Index_Average_Q1_2023__100_Value,Q1 2025_Index_Average_Q1_2023__100_Value,Q2 2025_Index_Average_Q1_2023__100_Value,Q3 2025_Index_Average_Q1_2023__100_Value
Djibouti,50.94,50.47,52.23,61.93,61.5,63.66,65.19,62.98,61.24,48.97,48.49,44.11,69.33,72.69,72.45,63.07,57.51,56.83,58.96,56.89,57.22,54.8,53.68,52.64,51.61,50.5,52.71,53.81,53.9,56.65,59.3,60.17,67.33,65.74,69.63,68.21,71.86,69.51,72.87,73.91,84.77,85.82,88.57,85.19,84.69,76.77,79.52,82,88.35,89.54,84.62,82.28,77.08,72.25,76.14,75.04,73.96,76.35,74.33,73.52,74.52,73.2,77.09,71.32,76.17,71.59,73.34,70.93,76.63,78.09,80.84,87.18,85.11,65.96,68.18,69.03,83.55,81.21,75.79
Dominica,23.75,22.39,22.39,22.39,22.39,22.38,22.38,17.14,17.1,17.1,17.1,17.1,17.1,17.48,17.48,17.48,17.08,17.08,17.08,21.33,19.98,19.98,19.98,19.98,19.97,19.97,19.97,19.97,21.22,19.01,21.5,21.5,21.5,21.51,21.51,19.3,19.3,22.94,19.3,19.3,24.57,22.53,18.22,18.18,18.22,18.22,18.22,18.22,18.22,28.74,22.45,22.45,21.77,25.28,25.37,25.37,25.37,25.37,25.37,25.37,25.37,25.37,25.37,23.34,24.02,24.03,24.02,24.03,24.09,24.1,24.09,24.09,24.44,24.47,24.47,24.47,24.47,24.47,24.47
Dominican Republic,107.54,106.02,104.65,112.25,108.63,112.57,123.24,119.03,121.68,120.26,112.97,114.63,115.99,112.39,111.52,112.86,111.41,113.07,111.05,113.78,116.11,113.56,117.09,114.82,116.63,113.89,115.75,119.22,116.83,115.2,117.89,119.72,118.33,116.97,117.32,113.77,113.65,114.91,109.28,109.7,122.09,123.93,128.49,129.51,129.39,125.93,135.4,136.95,141.91,136,127.76,132,131.54,130.03,133.06,130.78,129.15,126.92,120.9,124.74,124.8,124.35,128.7,121.44,122.07,129.67,128.86,125.95,129.01,129.99,128.2,129.37,129.16,126.58,130.12,120.07,129.52,127.45,127.05
Ecuador,68.94,68.69,75.02,73.91,78.54,74.14,71.16,68.19,66.66,70.34,72.72,76.9,76.13,79.29,84.69,84.85,88.31,86.55,93.5,103.13,104.07,105.38,101.24,98.45,91.45,84.6,83.41,80.26,87.97,90,91.7,89.51,86.99,92.33,86.17,87.79,87.93,90.5,98.78,100.86,103.01,106.28,103.91,100.45,102.69,98.43,101.01,101.41,101.51,94.95,84.54,92.84,103.69,104.51,103.36,102.21,111.92,113.66,111.63,106.89,105.91,107.09,106.72,100.57,103.91,105.71,107.62,110.1,107.35,111.18,113.15,116.13,118.26,116.97,115.86,113.94,112.2,110.68,110.83
Egypt,221.11,226.92,232.02,229.91,223.78,216.53,224.28,230.7,239.33,237.95,238.3,236.37,236.91,224.09,220.98,220.46,219,229.98,229.02,225.75,234.5,231.67,231.3,218.32,209.39,198.88,209.41,221.28,216.92,223.7,231.76,234.66,236.73,243.76,247.39,245.01,251.86,247.79,245.48,236.97,250.63,247.44,240.04,230.2,228.82,214.03,209.63,216.13,223.87,224.35,221.95,203.15,219.55,221.8,212.09,217.79,213.25,214.22,212.76,217.55,215.19,207.82,205.29,206.05,209.35,213.18,220.35,221.84,229.16,245.24,253.8,264.04,250.78,242.47,240.17,251.53,262.64,268.55,281.64
El Salvador,25.1,27.04,26,26.03,25.99,26.02,27.16,27.16,27.29,27.38,27.49,26.69,28.02,24.36,23.77,25.75,24.29,24.33,24.8,24.68,30.5,19.35,21.37,27.35,21.96,24.17,21.55,25.11,26.77,26.74,26.77,22.58,29.56,29.56,30.25,30.26,30.43,26.91,26.91,26.91,27.11,28.47,28.47,29.58,30.27,30.27,33.83,33.83,33.83,33.83,32.01,32.01,33.72,32.59,32.59,32.59,25.32,25.32,26.53,25.17,25.18,25.18,24.61,21.55,23.13,23.14,22.2,22.2,22.21,22.05,21.77,22.41,25.87,25.14,23.35,22.64,25.4,24.31,24.1
Equatorial Guinea,23.32,24.64,22.26,22.12,22.63,22.72,20.01,22.28,22.29,20.8,20.79,20.79,20.8,20.8,22.86,24.73,27.5,27.48,28.31,30.31,31.09,31.15,31.15,31.61,31.63,31.75,32.75,35.37,37.94,32.04,32.75,32.75,32.64,31.94,31.56,35,35.64,35.41,34.99,25.46,21.57,20.76,33.19,32.51,32.53,32.54,32.44,32.74,32.73,32.97,35.08,34.98,34.98,34.98,35.02,35.77,35.76,35.86,35.53,35.53,35.53,35.92,36.87,36.91,36.18,34.4,35.62,35.63,34.63,33.95,33.98,33.99,34.01,34.04,34.03,33.35,33.34,33.66,33.66
Eritrea,13.25,10.68,13.11,13.29,13.09,10,15.63,10.93,6.19,6.19,6.19,6.19,6.19,8.76,,,,,,,,,,,9.31,9.31,9.31,9.31,,,,,,,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,9.69,8.54,9.41,9.41,9.41,9.41,9.41,9.64,9.64,9.62,9.62,12.21,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,8.55,9.1,7.59,7.53,6.48,6.48,6.48,6.48,5.55
Estonia,32.62,30.39,35.06,27.58,29.63,25.82,28.18,28.18,27.28,27.09,35.61,39.94,48.9,50,47.78,43.74,49.88,39.43,42.11,32.04,35.74,29.66,30.98,33.11,31.72,35.93,40.09,44.2,37.19,37.15,34.94,38.06,38.83,46.18,43.64,42.93,35.06,37.28,36.11,38.82,33.51,34.78,36.95,34.84,37.08,38.22,34.46,33.71,34.86,36.23,39.25,38.14,36.76,38.75,35.19,36.63,35.44,30.29,29.25,31.61,31.59,37.62,38.83,35.29,34.13,32.02,32.02,32.02,36.73,37.23,37.3,35.76,27.88,29,30.96,31.03,33.33,32.57,31.68
Falkland Islands (Malvinas),,,,,,,,,,,,,,3.25,4.28,4.28,4.28,4.28,4.28,4.28,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,11.59,11.59,11.59,12.26,12.26,12.26,12.26,12.26,11.59,13.35,13.35,14.44,14.31,14.36,14.36,14.36,14.36,13.35,13.35,15.45,15.45,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,12.68,14.43,14.43,14.45,14.44,13.77,13.75,13.75,13.75,13.75,13.76,13.76,13.76,13.76,13.76,13.76,14.85,14.85,14.9,14.9,14.9,16.44,16.45,16.17,14.62,15.3,14.89,13.72,11.48,11.48,17.05,17.04,17.02,17.02,17.02,19.85,19.85,19.85,19.85,19.85,19.85,19.85,19.85,19.51,19.85,19.85,19.85,20.82,21.26,20.59
Fiji,35.12,41.56,46.69,47.84,46.32,46.38,52.84,45.72,43.79,45.35,54.9,56.02,54.68,49.49,46.79,46.79,46.79,46.17,42.52,43.17,43.19,47.35,48.6,48.39,44.31,40.23,44.59,47.7,49.19,50.53,53.49,54.58,53,50.32,48.35,45.59,40.58,39.9,39.2,38.56,39.87,38.52,40.88,40.91,41.02,43.67,43.06,42.91,42.91,43.59,42.11,37.5,37.5,37.5,37.56,37.48,37.59,37.68,37.92,35.79,35.79,38.78,38.7,38.71,39.09,40.7,38.64,40.61,40.15,40.97,41.25,41.44,41.9,42.39,42.23,42.08,42.08,42.16,42.16
Finland,81.65,84.74,93.74,84.45,89.22,84,82.44,82.53,84.18,84.34,87.7,88.5,98.26,89.66,89.4,89.73,97.08,85.17,88.63,83.25,82.38,85.16,88.53,89,84.51,91.86,93.62,92.8,89.58,91.94,97.95,94.53,94.72,98.12,107.79,104.54,99.82,98.73,97.43,96.39,96.69,95.87,94.97,86.41,83.06,81.89,84.2,85.84,85.82,88.77,84.61,74.35,78.43,80.54,74.22,69.13,69.11,66.76,67.05,68.15,69.26,69.02,70.17,70.76,69.93,68.8,67.7,68.26,67.14,68.45,67.45,67.4,65.79,66.33,68.46,70.52,72.07,71.7,70.93
France,298.78,296.4,295.91,298.74,304.16,297.79,302.79,309.5,314.38,308.68,293.86,288.38,278.22,283.49,277.87,280.85,278.96,280.87,285.47,285.98,284.28,282.01,274.83,265.22,270.77,265.61,263.63,275.76,285.74,288.18,297.29,294.42,300.33,302.35,299.37,292.23,296.57,300.1,302.46,300.3,298.93,288.65,285.1,280.08,279.85,283.37,291.96,295.38,288.44,288.96,279.26,284.8,286.29,283.62,271.99,295.08,284.98,284.81,272.07,271.94,278.79,271.26,261.74,257.66,261.03,248.65,248.75,251.67,251.34,259.42,267.13,268.89,265.38,265.83,266.42,265.43,265.96,264.77,261.28
French Guiana,21.67,21.67,21.67,20.81,20.81,22.38,22.4,16.76,16.8,16.08,16.09,16.11,16.11,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.43,15.44,15.44,15.44,15.44,17.94,15.5,15.51,15.51,15.61,15.51,15.5,15.51,15.51,15.51,15.51,15.51,15.51,16.35,16.82,16.82,16.78,16.77,16.77,16.77,16.77,18.12,18.12,17.42,17.44,17.44,17.44,17.44,16.09,16.09,16.7,16.52,16.53,16.53,16.53,16.53,16.53,16.53,16.53,16.52,16.52,16.56,16.58,16.58,16.13,15.45,16.81,19.53,19.53,19.53,19.53,19.53,19.53
